Question,Quantifier,Ratio,Target,Group,Image,Rightresponse,Wrongresponse,Agreement,Disagreement,Variablename
questionnoneblue-1.mp4,None,0,Blue,1,0percentblue.jpg,Green,Red,agree-dothinknone-blue-1.mp4,disagree-dothinknone-blue-1.mp4,Nonezero
questionnoneblue-2.mp4,None,0,Blue,1,0percentblue.jpg,Green,Red,agree-dothinknone-blue-2.mp4,disagree-dothinknone-blue-2.mp4,Nonezero
questionnoneorange-1.mp4,None,0,Orange,1,100percentblue.jpg,Green,Red,agree-dothinknone-orange-1.mp4,disagree-dothinknone-orange-1.mp4,Nonezero
questionnoneorange-2.mp4,None,0,Orange,1,100percentblue.jpg,Green,Red,agree-dothinknone-orange-2.mp4,disagree-dothinknone-orange-2.mp4,Nonezero
questionallblue-1.mp4,All,100,Blue,1,100percentblue.jpg,Green,Red,agree-dothinkall-blue-1.mp4,disagree-dothinkall-blue-1.mp4,Allhundred
questionallblue-2.mp4,All,100,Blue,1,100percentblue.jpg,Green,Red,agree-dothinkall-blue-2.mp4,disagree-dothinkall-blue-2.mp4,Allhundred
questionallorange-1.mp4,All,100,Orange,1,0percentblue.jpg,Green,Red,agree-dothinkall-orange-1.mp4,disagree-dothinkall-orange-1.mp4,Allhundred
questionallorange-2.mp4,All,100,Orange,1,0percentblue.jpg,Green,Red,agree-dothinkall-orange-2.mp4,disagree-dothinkall-orange-2.mp4,Allhundred
questionfewblue-1.mp4,Few,20,Blue,1,20percentblue-up.jpg,Green,Red,agree-dothinkfew-blue-1.mp4,disagree-dothinkfew-blue-1.mp4,Fewtwenty
questionfewblue-2.mp4,Few,20,Blue,1,20percentblue-down.jpg,Green,Red,agree-dothinkfew-blue-2.mp4,disagree-dothinkfew-blue-2.mp4,Fewtwenty
questionfewblue-3.mp4,Few,20,Blue,1,20percentblue-left.jpg,Green,Red,agree-dothinkfew-blue-3.mp4,disagree-dothinkfew-blue-3.mp4,Fewtwenty
questionfewblue-1.mp4,Few,20,Blue,1,20percentblue-right.jpg,Green,Red,agree-dothinkfew-blue-1.mp4,disagree-dothinkfew-blue-1.mp4,Fewtwenty
questionfewblue-2.mp4,Few,20,Blue,1,20percentblue-scat.jpg,Green,Red,agree-dothinkfew-blue-2.mp4,disagree-dothinkfew-blue-2.mp4,Fewtwenty
questionfeworange-1.mp4,Few,20,Orange,1,80percentblue-up.jpg,Green,Red,agree-dothinkfew-orange-1.mp4,disagree-dothinkfew-orange-1.mp4,Fewtwenty
questionfeworange-2.mp4,Few,20,Orange,1,80percentblue-down.jpg,Green,Red,agree-dothinkfew-orange-2.mp4,disagree-dothinkfew-orange-2.mp4,Fewtwenty
questionfeworange-3.mp4,Few,20,Orange,1,80percentblue-left.jpg,Green,Red,agree-dothinkfew-orange-3.mp4,disagree-dothinkfew-orange-3.mp4,Fewtwenty
questionfeworange-1.mp4,Few,20,Orange,1,80percentblue-right.jpg,Green,Red,agree-dothinkfew-orange-1.mp4,disagree-dothinkfew-orange-1.mp4,Fewtwenty
questionfeworange-2.mp4,Few,20,Orange,1,80percentblue-scat.jpg,Green,Red,agree-dothinkfew-orange-2.mp4,disagree-dothinkfew-orange-2.mp4,Fewtwenty
questionmanyblue-1.mp4,Many,20,Blue,1,20percentblue-up.jpg,Red,Green,agree-dontthinkmany-blue-1.mp4,disagree-dontthinkmany-blue-1.mp4,Manytwenty
questionmanyblue-2.mp4,Many,20,Blue,1,20percentblue-down.jpg,Red,Green,agree-dontthinkmany-blue-2.mp4,disagree-dontthinkmany-blue-2.mp4,Manytwenty
questionmanyblue-3.mp4,Many,20,Blue,1,20percentblue-left.jpg,Red,Green,agree-dontthinkmany-blue-3.mp4,disagree-dontthinkmany-blue-3.mp4,Manytwenty
questionmanyblue-1.mp4,Many,20,Blue,1,20percentblue-right.jpg,Red,Green,agree-dontthinkmany-blue-1.mp4,disagree-dontthinkmany-blue-1.mp4,Manytwenty
questionmanyblue-2.mp4,Many,20,Blue,1,20percentblue-scat.jpg,Red,Green,agree-dontthinkmany-blue-2.mp4,disagree-dontthinkmany-blue-2.mp4,Manytwenty
questionmanyorange-1.mp4,Many,20,Orange,1,80percentblue-up.jpg,Red,Green,agree-dontthinkmany-orange-1.mp4,disagree-dontthinkmany-orange-1.mp4,Manytwenty
questionmanyorange-2.mp4,Many,20,Orange,1,80percentblue-down.jpg,Red,Green,agree-dontthinkmany-orange-2.mp4,disagree-dontthinkmany-orange-2.mp4,Manytwenty
questionmanyorange-3.mp4,Many,20,Orange,1,80percentblue-left.jpg,Red,Green,agree-dontthinkmany-orange-3.mp4,disagree-dontthinkmany-orange-3.mp4,Manytwenty
questionmanyorange-1.mp4,Many,20,Orange,1,80percentblue-right.jpg,Red,Green,agree-dontthinkmany-orange-1.mp4,disagree-dontthinkmany-orange-2.mp4,Manytwenty
questionmanyorange-2.mp4,Many,20,Orange,1,80percentblue-scat.jpg,Red,Green,agree-dontthinkmany-orange-2.mp4,disagree-dontthinkmany-orange-1.mp4,Manytwenty
questionmanyblue-3.mp4,Many,80,Blue,1,80percentblue-up.jpg,Green,Red,agree-dothinkmany-blue-1.mp4,disagree-dothinkmany-blue-1.mp4,Manyeighty
questionmanyblue-2.mp4,Many,80,Blue,1,80percentblue-down.jpg,Green,Red,agree-dothinkmany-blue-2.mp4,disagree-dothinkmany-blue-2.mp4,Manyeighty
questionmanyblue-1.mp4,Many,80,Blue,1,80percentblue-left.jpg,Green,Red,agree-dothinkmany-blue-3.mp4,disagree-dothinkmany-blue-3.mp4,Manyeighty
questionmanyblue-2.mp4,Many,80,Blue,1,80percentblue-right.jpg,Green,Red,agree-dothinkmany-blue-2.mp4,disagree-dothinkmany-blue-2.mp4,Manyeighty
questionmanyblue-3.mp4,Many,80,Blue,1,80percentblue-scat.jpg,Green,Red,agree-dothinkmany-blue-1.mp4,disagree-dothinkmany-blue-1.mp4,Manyeighty
questionmanyorange-3.mp4,Many,80,Orange,1,20percentblue-up.jpg,Green,Red,agree-dothinkmany-orange-1.mp4,disagree-dothinkmany-orange-1.mp4,Manyeighty
questionmanyorange-2.mp4,Many,80,Orange,1,20percentblue-down.jpg,Green,Red,agree-dothinkmany-orange-2.mp4,disagree-dothinkmany-orange-2.mp4,Manyeighty
questionmanyorange-1.mp4,Many,80,Orange,1,20percentblue-left.jpg,Green,Red,agree-dothinkmany-orange-3.mp4,disagree-dothinkmany-orange-3.mp4,Manyeighty
questionmanyorange-2.mp4,Many,80,Orange,1,20percentblue-right.jpg,Green,Red,agree-dothinkmany-orange-2.mp4,disagree-dothinkmany-orange-2.mp4,Manyeighty
questionmanyorange-3.mp4,Many,80,Orange,1,20percentblue-scat.jpg,Green,Red,agree-dothinkmany-orange-1.mp4,disagree-dothinkmany-orange-1.mp4,Manyeighty
questionfewblue-3.mp4,Few,80,Blue,1,80percentblue-up.jpg,Red,Green,agree-dontthinkfew-blue-1.mp4,disagree-dontthinkfew-blue-1.mp4,Feweighty
questionfewblue-2.mp4,Few,80,Blue,1,80percentblue-down.jpg,Red,Green,agree-dontthinkfew-blue-2.mp4,disagree-dontthinkfew-blue-2.mp4,Feweighty
questionfewblue-1.mp4,Few,80,Blue,1,80percentblue-left.jpg,Red,Green,agree-dontthinkfew-blue-3.mp4,disagree-dontthinkfew-blue-3.mp4,Feweighty
questionfewblue-2.mp4,Few,80,Blue,1,80percentblue-right.jpg,Red,Green,agree-dontthinkfew-blue-2.mp4,disagree-dontthinkfew-blue-2.mp4,Feweighty
questionfewblue-3.mp4,Few,80,Blue,1,80percentblue-scat.jpg,Red,Green,agree-dontthinkfew-blue-1.mp4,disagree-dontthinkfew-blue-1.mp4,Feweighty
questionfeworange-3.mp4,Few,80,Orange,1,20percentblue-up.jpg,Red,Green,agree-dontthinkfew-orange-1.mp4,disagree-dontthinkfew-orange-1.mp4,Feweighty
questionfeworange-2.mp4,Few,80,Orange,1,20percentblue-down.jpg,Red,Green,agree-dontthinkfew-orange-2.mp4,disagree-dontthinkfew-orange-2.mp4,Feweighty
questionfeworange-1.mp4,Few,80,Orange,1,20percentblue-left.jpg,Red,Green,agree-dontthinkfew-orange-3.mp4,disagree-dontthinkfew-orange-3.mp4,Feweighty
questionfeworange-2.mp4,Few,80,Orange,1,20percentblue-right.jpg,Red,Green,agree-dontthinkfew-orange-2.mp4,disagree-dontthinkfew-orange-2.mp4,Feweighty
questionfeworange-3.mp4,Few,80,Orange,1,20percentblue-scat.jpg,Red,Green,agree-dontthinkfew-orange-1.mp4,disagree-dontthinkfew-orange-1.mp4,Feweighty
questionmanyblue-1.mp4,Many,40,Blue,1,40percentblue-up.jpg,Green,Red,agree-dothinkmany-blue-1.mp4,disagree-dothinkmany-blue-1.mp4,Manyforty
questionmanyblue-2.mp4,Many,40,Blue,1,40percentblue-down.jpg,Green,Red,agree-dothinkmany-blue-2.mp4,disagree-dothinkmany-blue-2.mp4,Manyforty
questionmanyblue-3.mp4,Many,40,Blue,1,40percentblue-left.jpg,Green,Red,agree-dothinkmany-blue-3.mp4,disagree-dothinkmany-blue-3.mp4,Manyforty
questionmanyblue-1.mp4,Many,40,Blue,1,40percentblue-right.jpg,Green,Red,agree-dothinkmany-blue-2.mp4,disagree-dothinkmany-blue-2.mp4,Manyforty
questionmanyblue-2.mp4,Many,40,Blue,1,40percentblue-scat.jpg,Green,Red,agree-dothinkmany-blue-1.mp4,disagree-dothinkmany-blue-1.mp4,Manyforty
questionmanyorange-1.mp4,Many,40,Orange,1,60percentblue-up.jpg,Green,Red,agree-dothinkmany-orange-1.mp4,disagree-dothinkmany-orange-1.mp4,Manyforty
questionmanyorange-2.mp4,Many,40,Orange,1,60percentblue-down.jpg,Green,Red,agree-dothinkmany-orange-2.mp4,disagree-dothinkmany-orange-2.mp4,Manyforty
questionmanyorange-3.mp4,Many,40,Orange,1,60percentblue-left.jpg,Green,Red,agree-dothinkmany-orange-3.mp4,disagree-dothinkmany-orange-3.mp4,Manyforty
questionmanyorange-1.mp4,Many,40,Orange,1,60percentblue-right.jpg,Green,Red,agree-dothinkmany-orange-2.mp4,disagree-dothinkmany-orange-2.mp4,Manyforty
questionmanyorange-2.mp4,Many,40,Orange,1,60percentblue-scat.jpg,Green,Red,agree-dothinkmany-orange-1.mp4,disagree-dothinkmany-orange-1.mp4,Manyforty
questionfewblue-1.mp4,Few,40,Blue,1,40percentblue-up.jpg,Red,Green,agree-dontthinkfew-blue-1.mp4,disagree-dontthinkfew-blue-1.mp4,Fewforty
questionfewblue-2.mp4,Few,40,Blue,1,40percentblue-down.jpg,Red,Green,agree-dontthinkfew-blue-2.mp4,disagree-dontthinkfew-blue-2.mp4,Fewforty
questionfewblue-3.mp4,Few,40,Blue,1,40percentblue-left.jpg,Red,Green,agree-dontthinkfew-blue-3.mp4,disagree-dontthinkfew-blue-3.mp4,Fewforty
questionfewblue-1.mp4,Few,40,Blue,1,40percentblue-right.jpg,Red,Green,agree-dontthinkfew-blue-2.mp4,disagree-dontthinkfew-blue-2.mp4,Fewforty
questionfewblue-2.mp4,Few,40,Blue,1,40percentblue-scat.jpg,Red,Green,agree-dontthinkfew-blue-1.mp4,disagree-dontthinkfew-blue-1.mp4,Fewforty
questionfeworange-1.mp4,Few,40,Orange,1,60percentblue-up.jpg,Red,Green,agree-dontthinkfew-orange-1.mp4,disagree-dontthinkfew-orange-1.mp4,Fewforty
questionfeworange-2.mp4,Few,40,Orange,1,60percentblue-down.jpg,Red,Green,agree-dontthinkfew-orange-2.mp4,disagree-dontthinkfew-orange-2.mp4,Fewforty
questionfeworange-3.mp4,Few,40,Orange,1,60percentblue-left.jpg,Red,Green,agree-dontthinkfew-orange-3.mp4,disagree-dontthinkfew-orange-3.mp4,Fewforty
questionfeworange-1.mp4,Few,40,Orange,1,60percentblue-right.jpg,Red,Green,agree-dontthinkfew-orange-2.mp4,disagree-dontthinkfew-orange-2.mp4,Fewforty
questionfeworange-2.mp4,Few,40,Orange,1,60percentblue-scat.jpg,Red,Green,agree-dontthinkfew-orange-1.mp4,disagree-dontthinkfew-orange-1.mp4,Fewforty
questionmanyblue-3.mp4,Many,60,Blue,1,60percentblue-up.jpg,Green,Red,agree-dothinkmany-blue-1.mp4,disagree-dothinkmany-blue-1.mp4,Manysixty
questionmanyblue-1.mp4,Many,60,Blue,1,60percentblue-down.jpg,Green,Red,agree-dothinkmany-blue-2.mp4,disagree-dothinkmany-blue-2.mp4,Manysixty
questionmanyblue-2.mp4,Many,60,Blue,1,60percentblue-left.jpg,Green,Red,agree-dothinkmany-blue-3.mp4,disagree-dothinkmany-blue-3.mp4,Manysixty
questionmanyblue-1.mp4,Many,60,Blue,1,60percentblue-right.jpg,Green,Red,agree-dothinkmany-blue-2.mp4,disagree-dothinkmany-blue-2.mp4,Manysixty
questionmanyblue-3.mp4,Many,60,Blue,1,60percentblue-scat.jpg,Green,Red,agree-dothinkmany-blue-1.mp4,disagree-dothinkmany-blue-1.mp4,Manysixty
questionmanyorange-3.mp4,Many,60,Orange,1,40percentblue-up.jpg,Green,Red,agree-dothinkmany-orange-1.mp4,disagree-dothinkmany-orange-1.mp4,Manysixty
questionmanyorange-1.mp4,Many,60,Orange,1,40percentblue-down.jpg,Green,Red,agree-dothinkmany-orange-2.mp4,disagree-dothinkmany-orange-2.mp4,Manysixty
questionmanyorange-2.mp4,Many,60,Orange,1,40percentblue-left.jpg,Green,Red,agree-dothinkmany-orange-3.mp4,disagree-dothinkmany-orange-3.mp4,Manysixty
questionmanyorange-1.mp4,Many,60,Orange,1,40percentblue-right.jpg,Green,Red,agree-dothinkmany-orange-2.mp4,disagree-dothinkmany-orange-2.mp4,Manysixty
questionmanyorange-3.mp4,Many,60,Orange,1,40percentblue-scat.jpg,Green,Red,agree-dothinkmany-orange-1.mp4,disagree-dothinkmany-orange-1.mp4,Manysixty
